,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH, EV24,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH
240,20180806,80,9,25,40,18,10,23,80,15,232,155,4,304,14,122,24,139,91,2517,0,0,0,1,48,10154,10201,1,10120,24,70,2,82,18,3,59,88,24,29,14
240,20180807,190,8,26,70,23,10,1,150,23,262,165,4,337,15,113,6,100,66,2219,10,20,20,24,44,10085,10116,1,10052,21,60,24,83,19,4,54,93,2,27,12
240,20180808,225,40,56,100,10,20,22,150,10,197,137,24,235,11,100,24,50,33,1227,10,35,21,2,22,10108,10150,21,10045,1,65,1,82,19,5,76,92,1,56,17
240,20180809,352,7,43,100,20,10,3,230,19,176,126,3,228,10,93,6,18,12,717,40,75,24,14,12,10107,10150,24,10040,18,50,22,82,10,7,81,96,18,53,10
240,20180810,215,64,70,100,11,30,4,180,9,160,124,21,220,15,114,6,76,50,1714,62,164,52,21,29,10183,10197,12,10161,1,57,19,83,15,6,76,94,21,48,14
240,20180811,253,43,49,90,9,10,21,120,9,159,119,4,204,13,83,24,109,73,2074,2,4,4,5,35,10210,10226,14,10187,1,65,1,83,9,6,69,93,1,51,13
240,20180812,185,34,43,80,11,10,18,120,13,205,131,1,268,14,114,6,28,19,1498,0,-1,-1,1,28,10127,10188,1,10073,24,73,4,83,9,8,60,77,24,39,14
240,20180813,259,33,40,70,18,10,5,100,16,191,177,4,227,9,163,6,30,20,893,15,13,7,13,16,10059,10083,24,10047,5,60,11,75,1,8,83,92,13,72,8
240,20180814,278,51,55,70,3,30,22,120,10,190,164,23,228,13,152,24,75,51,1733,8,7,5,2,31,10141,10173,23,10083,1,61,2,82,13,6,77,93,3,59,13
240,20180815,221,47,49,80,13,30,1,110,13,197,171,24,238,13,160,24,30,20,967,0,-1,-1,1,18,10175,10184,14,10165,4,58,6,77,10,7,80,93,5,67,12
240,20180816,209,36,50,80,10,20,19,120,16,182,159,20,219,15,146,24,21,14,792,9,4,4,23,14,10150,10159,1,10144,19,65,22,80,9,7,80,92,23,67,9
240,20180817,264,23,29,50,12,0,5,90,14,178,140,24,226,13,112,6,110,75,2119,0,-1,-1,1,37,10186,10207,22,10153,1,64,5,83,15,5,72,97,4,50,10
240,20180818,220,49,53,70,11,30,1,110,12,181,138,1,219,15,115,6,37,25,957,0,0,0,1,17,10210,10215,20,10201,4,63,7,83,16,6,78,92,5,59,17
240,20180819,220,57,62,90,13,40,24,130,16,194,176,5,237,14,173,6,4,3,708,0,-1,-1,1,13,10189,10209,1,10174,24,35,9,80,13,8,81,93,9,66,13
240,20180820,301,28,33,50,10,10,22,90,10,196,150,23,234,14,110,24,70,48,1615,0,0,0,1,29,10196,10209,20,10174,3,60,2,83,16,7,81,93,22,64,16
240,20180821,216,6,17,30,8,0,21,60,13,202,156,5,252,14,125,24,70,49,1407,0,0,0,1,26,10199,10211,1,10187,24,61,5,75,9,5,81,96,22,60,13
240,20180822,250,31,34,60,14,0,3,100,13,198,158,24,247,11,122,6,93,65,1911,0,0,0,1,35,10168,10185,1,10151,24,48,4,76,12,4,82,98,3,63,13
240,20180823,221,41,50,80,15,20,1,140,17,184,131,23,225,15,101,24,1,1,608,15,9,6,18,11,10116,10145,1,10095,24,46,1,80,15,8,87,96,1,67,15
240,20180824,253,57,65,100,12,30,1,140,11,153,110,24,189,12,107,24,85,60,1566,49,190,64,21,26,10106,10123,13,10088,24,58,2,83,18,6,72,95,1,51,15
240,20180825,289,33,41,80,13,10,21,140,15,129,89,24,180,13,52,24,69,49,1396,75,192,63,1,22,10112,10156,23,10071,3,60,2,83,9,6,82,97,2,60,9
240,20180826,185,61,62,110,21,20,1,180,21,142,67,5,199,14,27,6,65,46,1541,30,11,5,21,25,10126,10162,6,10050,24,60,23,83,14,7,74,97,1,51,10
240,20180827,249,59,64,100,12,20,23,140,12,176,141,1,201,13,137,6,20,14,900,18,38,29,4,16,10104,10171,24,10040,2,56,4,80,12,8,77,97,3,61,12
240,20180828,188,14,20,40,13,10,2,70,12,172,113,24,218,11,74,24,24,17,983,0,-1,-1,1,17,10178,10195,9,10154,24,58,23,81,11,6,79,98,24,55,11
240,20180829,357,18,24,60,15,0,6,100,15,155,106,2,197,11,68,6,17,12,615,48,56,23,17,10,10140,10175,24,10114,10,31,1,75,15,7,88,98,1,70,10
240,20180830,323,37,39,60,10,10,21,100,10,152,104,24,195,13,56,24,98,71,1800,0,0,0,1,30,10216,10236,21,10179,1,65,24,83,15,5,71,93,24,50,15
240,20180831,333,14,15,40,17,0,1,60,17,142,93,2,188,15,39,6,26,19,1024,0,0,0,1,17,10240,10253,23,10230,3,65,1,82,13,6,78,97,1,55,16
240,20180901,76,12,18,40,16,0,1,70,15,145,86,5,209,13,34,6,104,76,1868,0,0,0,1,31,10271,10279,21,10254,1,65,1,83,12,2,74,97,1,45,12
240,20180902,57,32,33,50,16,10,2,80,14,165,95,4,226,14,38,6,110,81,1804,0,0,0,1,31,10251,10278,1,10220,24,63,24,83,13,1,75,97,3,51,16
240,20180903,11,34,35,50,14,20,2,80,14,187,135,2,229,14,123,6,44,32,1147,0,0,0,1,20,10190,10214,1,10171,24,50,24,75,12,7,84,94,2,70,10
240,20180904,11,24,26,40,15,10,8,70,1,205,178,24,250,15,171,24,32,24,976,0,0,0,1,18,10172,10181,21,10164,5,25,8,59,13,8,88,97,4,70,14
240,20180905,12,20,29,50,13,20,2,130,9,180,168,13,204,17,166,12,14,10,363,91,493,98,14,6,10174,10195,9,10156,23,22,8,65,16,8,92,98,8,80,16
240,20180906,311,25,29,50,14,10,1,130,9,164,135,22,185,14,120,24,8,6,461,53,108,62,11,8,10128,10150,1,10110,24,21,2,70,13,8,94,98,1,85,18
240,20180907,254,56,64,90,11,30,1,140,19,150,128,21,172,13,121,24,86,65,1660,29,109,76,4,27,10130,10162,24,10098,3,50,3,83,13,6,73,97,3,53,14
240,20180908,217,48,52,80,12,30,6,120,11,149,101,5,183,11,86,6,20,15,989,0,-1,-1,1,16,10179,10187,15,10163,1,65,5,82,11,8,76,93,5,61,11
240,20180909,204,45,48,80,12,30,1,110,12,181,129,1,226,16,111,6,57,43,1424,0,-1,-1,1,25,10186,10192,9,10179,1,64,24,83,16,8,76,94,24,57,12
240,20180910,242,48,52,80,13,30,3,120,15,173,147,6,190,12,124,6,14,11,805,0,0,0,1,14,10205,10219,12,10188,1,60,1,80,15,8,79,95,1,69,13
240,20180911,227,71,73,110,12,40,2,160,10,184,145,2,220,12,130,6,20,15,795,0,-1,-1,1,14,10192,10198,20,10185,5,27,24,75,12,8,84,96,24,71,12
240,20180912,343,23,30,60,8,0,23,120,8,147,108,24,183,2,73,24,1,1,543,22,13,7,6,9,10214,10234,19,10177,3,42,2,75,13,8,88,98,3,72,17
240,20180913,319,13,17,40,14,0,4,80,18,131,75,6,186,13,33,6,111,86,1625,0,0,0,1,26,10221,10228,9,10213,16,19,2,82,12,1,78,98,2,50,14
240,20180914,222,43,49,80,13,10,1,130,16,144,76,4,198,12,32,6,69,54,1301,0,-1,-1,1,21,10199,10214,1,10191,19,65,1,83,16,6,74,95,1,53,13
240,20180915,256,37,45,70,12,20,19,100,10,156,110,22,193,13,74,24,87,68,1452,0,-1,-1,1,24,10229,10247,20,10196,1,70,5,82,15,8,75,90,23,58,12
240,20180916,194,39,41,70,12,20,1,110,13,156,105,4,216,14,77,24,52,41,1234,0,0,0,1,21,10203,10232,1,10183,24,64,3,82,15,6,76,95,3,53,14
240,20180917,173,34,38,50,10,20,20,80,11,170,111,3,234,15,79,6,82,65,1438,0,0,0,1,25,10164,10188,8,10117,24,63,10,83,14,8,73,91,3,43,15
240,20180918,217,62,71,110,12,40,2,170,15,186,148,3,236,14,127,6,112,89,1644,0,0,0,1,29,10116,10148,24,10090,6,62,16,80,3,2,70,84,21,58,13
240,20180919,205,67,70,110,14,30,1,160,15,187,138,6,231,13,124,6,86,69,1377,0,0,0,1,24,10151,10161,20,10143,6,63,9,80,14,7,76,92,2,56,12
240,20180920,203,57,62,90,11,30,19,130,11,190,162,3,225,14,149,24,42,34,906,0,0,0,1,16,10121,10152,1,10043,24,66,18,80,16,8,76,90,19,63,15
240,20180921,244,97,111,130,12,50,1,250,20,155,103,20,198,3,99,18,50,41,1041,28,59,18,18,17,10062,10150,24,9986,5,61,18,82,15,6,68,89,6,51,15
240,20180922,238,47,55,90,10,20,19,130,9,129,108,24,165,10,105,6,11,9,566,50,77,26,20,9,10172,10180,13,10154,24,58,24,81,6,8,79,95,23,60,10
240,20180923,349,18,27,50,12,10,4,110,14,102,74,20,116,10,43,24,1,1,232,91,142,32,11,3,10163,10265,24,10120,10,36,2,75,22,7,90,97,5,75,22
240,20180924,314,38,44,80,11,10,22,150,9,107,65,24,157,13,23,24,94,77,1384,11,20,14,24,21,10337,10376,24,10277,1,65,24,81,13,4,73,93,24,48,12
240,20180925,195,10,15,30,9,0,19,60,13,107,56,5,167,15,12,6,81,67,1150,0,-1,-1,1,17,10376,10395,10,10352,24,56,4,83,14,5,77,98,4,51,12
240,20180926,219,45,48,80,11,20,1,120,11,131,65,1,188,14,20,6,96,80,1426,0,0,0,1,23,10320,10347,1,10304,24,61,8,81,17,4,76,91,24,59,14
240,20180927,220,27,33,60,16,10,24,90,16,146,101,4,210,14,73,6,105,88,1478,0,0,0,1,24,10255,10299,1,10219,22,57,3,83,17,2,75,98,3,42,12
240,20180928,15,42,43,60,9,10,23,100,3,125,61,24,162,14,7,24,42,35,910,0,0,0,1,14,10282,10316,21,10223,1,66,2,82,14,6,70,89,24,54,12
240,20180929,168,11,15,30,9,0,1,50,10,97,43,3,160,14,1,24,106,90,1408,0,0,0,1,20,10276,10315,1,10217,24,65,1,82,17,6,75,96,2,49,13
240,20180930,275,24,35,60,14,10,1,100,24,111,41,5,169,12,-7,6,81,69,1222,3,3,3,24,18,10172,10211,1,10155,23,65,4,81,14,6,74,93,4,58,11
240,20181001,322,41,47,90,11,10,3,160,15,98,77,19,131,11,38,6,61,52,956,30,34,6,8,14,10199,10227,19,10157,1,63,9,80,13,7,79,93,3,57,10
240,20181002,271,52,62,100,13,30,2,150,13,122,86,1,169,13,78,6,38,33,710,51,38,10,5,11,10167,10199,1,10141,9,28,8,80,14,7,82,96,8,61,14
240,20181003,276,40,47,60,2,30,19,100,3,132,98,6,160,12,79,6,75,65,1026,0,-1,-1,1,16,10246,10266,17,10192,1,63,22,77,12,6,72,93,23,54,11
240,20181004,210,42,44,70,10,30,1,100,11,144,101,24,182,14,70,24,16,14,522,0,-1,-1,1,9,10242,10258,1,10219,24,50,23,73,11,5,88,96,23,73,12
240,20181005,160,22,24,50,11,0,19,70,10,134,86,5,202,14,43,24,102,89,1231,0,0,0,1,20,10165,10215,1,10118,24,50,2,76,15,5,84,98,22,56,15
240,20181006,345,13,35,80,23,10,1,150,24,136,80,2,198,13,38,6,73,64,1150,24,8,3,20,18,10092,10140,24,10069,13,13,1,77,14,6,86,98,2,66,13
240,20181007,34,25,28,70,1,0,20,110,1,106,63,23,149,12,15,24,80,71,1033,0,-1,-1,1,15,10205,10228,21,10152,1,65,7,82,14,6,78,97,21,57,15
240,20181008,211,38,41,70,12,10,1,100,13,112,57,1,167,14,13,6,73,65,967,0,0,0,1,15,10211,10221,1,10200,17,65,1,82,13,8,83,97,1,59,13
240,20181009,183,32,33,50,9,20,18,80,10,127,83,5,182,14,35,24,84,75,1139,0,0,0,1,18,10204,10213,9,10196,4,57,3,82,15,6,81,97,3,58,15
240,20181010,88,35,37,50,11,10,1,80,11,155,74,4,228,14,34,6,98,89,1161,0,0,0,1,19,10159,10200,1,10108,23,30,3,81,15,1,77,98,4,53,13
240,20181011,140,49,50,70,24,30,4,100,12,175,132,4,222,14,118,6,56,51,849,6,2,2,24,15,10104,10112,23,10095,5,60,6,82,16,4,75,88,4,60,15
240,20181012,173,60,61,80,11,40,5,120,10,180,135,6,217,14,121,6,81,74,997,0,-1,-1,1,18,10161,10177,21,10120,1,65,4,82,13,7,79,93,7,58,14
240,20181013,153,52,53,70,12,40,7,100,3,198,162,7,256,14,148,12,90,83,1017,0,0,0,1,18,10150,10176,2,10111,24,70,1,83,15,7,73,84,1,56,14
240,20181014,157,43,45,80,11,10,22,130,14,181,149,6,238,13,103,24,78,72,962,0,0,0,1,17,10078,10106,1,10061,13,70,6,83,16,6,69,81,6,51,14
240,20181015,190,21,32,60,12,10,1,80,9,170,129,24,224,13,83,24,60,56,899,0,-1,-1,1,15,10118,10158,24,10085,2,15,24,81,9,6,76,98,23,60,11
240,20181016,159,19,22,40,21,10,2,50,13,161,113,6,233,14,78,12,68,64,883,0,0,0,1,15,10173,10179,10,10161,1,1,5,80,14,6,80,98,1,50,13
240,20181017,274,19,25,50,12,10,2,70,10,142,99,23,191,11,49,24,77,73,858,0,0,0,1,14,10197,10228,24,10171,3,9,6,75,9,8,86,98,5,70,10
240,20181018,26,30,33,50,10,10,1,90,11,127,82,24,158,11,33,24,51,48,687,0,-1,-1,1,11,10252,10265,21,10229,1,57,20,81,12,7,80,96,1,64,12
240,20181019,50,20,23,40,7,10,19,70,7,96,46,24,147,13,2,24,75,72,886,0,0,0,1,13,10264,10286,24,10252,14,56,23,81,13,5,81,97,23,59,13
240,20181020,231,20,24,40,11,0,2,70,13,107,42,2,161,12,2,6,37,36,614,0,0,0,1,9,10304,10318,10,10284,1,58,2,80,11,7,86,97,1,68,12
240,20181021,194,33,35,50,10,10,23,80,15,129,94,22,162,12,77,24,17,16,569,0,0,0,1,9,10276,10298,1,10260,16,50,24,67,17,8,78,94,24,63,11
240,20181022,333,32,41,60,11,20,18,100,2,118,64,21,150,12,25,24,70,68,763,0,-1,-1,1,12,10321,10343,17,10273,1,63,1,82,24,5,73,94,1,52,14
240,20181023,282,88,90,110,13,60,1,150,11,134,102,1,150,19,83,6,6,6,288,0,-1,-1,1,5,10242,10294,1,10223,24,61,14,75,1,8,78,84,23,70,1
240,20181024,301,59,64,90,1,30,17,150,3,141,127,23,162,11,116,24,32,32,542,10,3,2,16,9,10237,10254,10,10213,24,43,5,75,11,8,89,97,18,78,11
240,20181025,269,38,42,60,1,30,7,90,3,123,109,23,134,11,106,24,2,2,202,10,6,3,16,3,10180,10207,1,10133,24,39,13,75,5,8,86,95,13,75,5
240,20181026,254,44,54,70,4,20,23,140,17,98,61,20,124,12,51,24,12,12,259,58,43,8,21,4,10064,10126,1,10044,14,38,7,80,15,8,85,94,1,69,15
240,20181027,37,14,28,60,21,10,2,100,22,74,48,6,117,14,36,6,44,44,581,34,55,17,6,8,10093,10156,24,10051,1,58,2,75,10,6,81,94,5,71,15
240,20181028,62,58,60,80,13,40,7,130,13,53,25,7,79,12,10,12,87,88,874,0,0,0,1,11,10172,10187,10,10150,23,75,1,83,8,2,68,80,1,54,13
240,20181029,55,61,62,80,23,40,1,130,21,54,36,3,63,12,26,6,8,8,256,0,0,0,1,3,10049,10148,1,9926,24,70,2,75,1,8,82,90,6,77,14
240,20181030,186,17,68,110,20,30,9,170,19,62,38,17,102,22,37,18,1,1,156,128,215,48,4,2,9899,10024,24,9856,9,29,4,75,24,8,90,96,18,75,24
240,20181031,163,33,48,90,1,30,13,130,1,85,53,8,112,15,44,12,71,73,627,0,-1,-1,1,9,10106,10130,11,10039,1,65,4,80,13,7,81,94,6,65,14
240,20181101,152,54,56,70,11,40,1,100,9,103,83,7,123,10,71,12,7,7,296,35,26,12,16,4,10081,10102,1,10068,14,58,23,80,10,8,83,95,18,68,10
240,20181102,262,43,50,80,2,30,5,120,1,86,38,24,115,11,32,24,65,68,714,36,39,15,16,10,10216,10288,23,10098,1,59,1,83,12,6,79,93,2,56,13
240,20181103,160,33,35,60,13,20,1,80,12,54,11,4,107,14,-7,6,70,74,603,0,0,0,1,8,10264,10288,1,10206,24,57,8,75,12,6,87,97,4,70,13
240,20181104,125,32,34,50,11,20,15,80,11,62,19,7,111,15,8,12,72,76,623,0,0,0,1,8,10152,10199,1,10115,24,42,23,66,4,6,88,97,23,79,12
240,20181105,88,34,35,50,11,20,21,80,15,79,52,5,103,14,41,6,21,22,391,0,0,0,1,5,10081,10108,1,10056,23,35,22,57,10,7,94,97,20,90,11
240,20181106,139,38,38,50,10,30,1,80,10,122,65,2,189,14,53,6,55,59,558,0,0,0,1,9,10049,10055,7,10039,14,40,1,82,14,8,81,97,1,61,12
240,20181107,158,63,65,80,10,50,1,130,13,108,83,6,132,13,72,6,15,16,303,10,5,5,14,5,10061,10112,24,10043,7,65,23,75,9,6,84,92,23,73,12
240,20181108,162,34,44,60,1,30,8,100,1,90,50,21,130,13,26,24,80,87,656,0,0,0,1,9,10180,10205,12,10118,1,65,1,75,10,2,85,93,20,72,15
240,20181109,135,47,51,70,21,40,3,100,22,92,69,1,114,14,54,6,36,39,422,0,0,0,1,6,10103,10162,1,10029,24,59,8,70,1,7,86,91,7,81,1
240,20181110,166,66,68,90,3,50,16,140,5,113,91,24,130,13,83,24,2,2,144,64,31,10,15,2,9999,10019,1,9982,5,56,6,70,1,7,92,97,17,82,3
240,20181111,182,61,63,90,11,30,24,140,14,109,79,24,137,14,69,24,15,17,268,17,48,41,18,4,10040,10103,24,9999,3,59,24,75,12,8,89,97,24,77,14
240,20181112,179,40,41,60,21,30,1,90,21,100,80,1,124,13,70,6,9,10,251,39,11,4,8,4,10131,10164,24,10105,2,50,3,70,13,8,94,98,1,88,14
240,20181113,215,64,68,100,10,40,19,150,10,102,78,24,136,13,70,24,60,67,529,0,0,0,1,8,10215,10273,24,10165,1,59,5,75,11,5,88,96,24,73,14
240,20181114,170,40,43,60,14,30,17,80,12,86,59,24,131,14,43,24,73,82,515,0,0,0,1,7,10260,10273,1,10247,23,59,24,72,13,8,90,96,1,75,14
240,20181115,133,31,32,40,1,20,21,60,1,73,32,24,124,14,7,24,79,90,552,0,0,0,1,7,10245,10257,24,10238,16,59,1,70,13,3,87,95,6,74,15
240,20181116,101,25,28,40,2,10,16,80,8,32,-6,6,51,21,-18,6,2,2,158,0,0,0,1,2,10281,10296,24,10258,1,2,7,60,1,3,95,98,7,89,22
240,20181117,78,48,49,60,9,30,1,100,18,45,13,6,82,13,1,6,75,86,562,0,0,0,1,7,10311,10319,10,10299,1,57,7,68,17,0,80,92,6,69,14
240,20181118,61,58,58,80,24,40,4,120,11,38,4,8,68,13,-8,12,67,77,524,0,0,0,1,6,10299,10318,3,10273,24,59,4,83,16,4,73,86,8,51,16
240,20181119,58,81,82,100,24,70,1,150,21,54,36,22,72,13,26,24,12,14,201,3,2,2,16,3,10214,10266,1,10159,24,62,1,75,8,6,80,87,1,73,14
240,20181120,76,81,83,100,2,70,13,180,2,35,28,21,44,1,19,6,0,0,61,0,-1,-1,1,1,10110,10152,1,10088,19,63,9,75,1,8,76,82,22,70,2
240,20181121,92,45,46,70,1,30,12,110,1,36,20,2,52,14,11,6,12,14,279,0,-1,-1,1,3,10167,10202,22,10101,1,56,24,62,1,8,81,85,1,75,14
240,20181122,83,37,38,50,1,20,23,80,6,33,11,24,44,15,-2,24,10,12,175,0,0,0,1,2,10197,10202,1,10191,15,56,1,60,22,8,85,93,24,82,14
240,20181123,82,30,32,40,15,20,3,60,5,34,9,8,59,14,-1,6,5,6,227,0,0,0,1,3,10167,10194,1,10130,24,56,8,60,1,7,88,95,24,80,13
240,20181124,66,40,41,60,3,20,19,100,4,26,14,1,34,20,3,6,0,0,128,0,0,0,1,1,10120,10128,1,10114,5,5,6,56,17,8,94,98,3,88,20
240,20181125,61,46,46,60,14,20,1,100,15,38,24,3,50,24,19,6,5,6,150,0,-1,-1,1,2,10117,10127,10,10111,24,32,23,59,9,8,91,94,2,88,12
240,20181126,67,48,49,60,1,40,14,100,13,47,33,20,57,12,26,24,0,0,98,0,-1,-1,1,1,10136,10175,23,10108,4,45,1,61,21,8,86,90,1,82,17
240,20181127,120,35,39,60,22,20,5,90,23,32,13,19,53,11,-3,24,0,0,141,0,0,0,1,2,10190,10199,13,10174,24,30,20,61,1,7,87,94,20,80,12
240,20181128,152,76,78,90,13,70,1,130,13,65,34,1,96,24,25,6,0,0,95,64,29,9,14,1,10146,10170,1,10121,24,23,8,62,16,8,94,97,19,85,2
240,20181129,172,74,75,100,12,50,3,140,12,103,96,1,111,24,84,24,3,4,111,105,36,7,1,2,10081,10120,2,10051,14,45,1,75,16,8,88,98,1,79,18
240,20181130,201,62,63,80,7,50,3,120,9,91,58,22,117,14,45,24,56,69,367,0,0,0,1,5,10085,10112,24,10064,1,61,24,73,12,5,86,95,24,76,11
240,20181201,179,64,65,90,17,40,3,130,16,74,40,3,100,24,26,6,2,2,208,69,19,5,18,3,10071,10113,2,10002,24,29,21,69,15,7,95,98,23,88,15
240,20181202,222,76,82,100,11,60,6,150,10,124,100,1,137,13,97,6,0,0,110,54,20,6,6,2,9972,9994,1,9950,7,29,7,70,12,8,92,98,4,86,15
240,20181203,244,67,78,110,4,30,24,170,2,112,55,24,134,2,39,24,10,12,204,15,20,18,19,3,9992,10083,24,9965,15,57,19,70,1,6,87,97,19,80,10
240,20181204,231,6,22,40,3,10,8,100,3,51,19,21,94,13,-3,24,57,71,364,6,2,1,1,5,10203,10255,21,10096,1,65,8,82,13,5,85,95,24,62,13
240,20181205,147,51,52,80,18,20,1,110,18,60,28,2,89,24,7,6,0,0,107,32,15,7,14,1,10186,10250,1,10112,24,40,15,70,9,8,93,98,22,85,12
240,20181206,227,66,68,100,21,40,2,150,19,113,88,1,123,21,86,6,0,0,85,40,17,7,4,1,10128,10144,11,10108,1,19,4,70,12,8,95,98,1,88,13
240,20181207,229,84,95,110,8,60,17,190,16,103,69,19,120,4,56,24,0,0,51,95,97,26,15,1,10024,10108,1,9949,15,26,1,73,22,7,88,98,1,67,22
240,20181208,248,112,115,130,9,90,18,210,9,98,78,1,115,21,61,6,7,9,144,64,61,16,18,2,9974,10018,1,9913,22,58,21,70,19,8,79,92,18,71,13
240,20181209,287,90,95,130,1,70,9,200,2,81,55,23,101,12,41,24,28,36,219,59,67,15,8,3,10028,10164,24,9922,1,40,15,75,19,7,81,92,8,74,22
240,20181210,311,64,65,90,9,30,5,170,9,59,31,5,81,12,20,6,30,38,242,21,27,8,10,3,10214,10242,24,10169,1,60,15,80,13,5,78,90,5,64,14
240,20181211,312,22,24,50,1,0,22,90,5,45,7,23,79,12,-11,24,20,26,190,12,9,3,6,2,10244,10252,22,10238,2,7,24,75,1,6,88,98,24,77,4
240,20181212,89,28,29,50,13,0,2,80,13,22,-21,3,59,13,-30,6,46,59,345,0,-1,-1,1,4,10257,10271,10,10242,24,2,3,80,16,4,86,98,3,68,17
240,20181213,75,55,56,70,12,40,3,110,13,16,1,4,27,11,-11,6,63,81,372,0,0,0,1,4,10226,10239,1,10217,14,57,6,75,15,2,86,93,3,79,12
240,20181214,77,33,35,40,1,20,16,70,8,14,-14,18,37,13,-29,18,50,65,321,0,0,0,1,4,10246,10262,19,10229,5,60,7,68,23,6,84,92,2,72,13
240,20181215,136,62,64,100,16,20,1,170,21,4,-11,24,14,1,-11,18,0,0,98,10,6,6,24,1,10205,10261,1,10104,24,43,24,74,13,8,72,95,24,62,13
240,20181216,156,48,49,90,1,30,11,130,1,17,-8,1,38,19,-9,6,0,0,98,33,20,11,1,1,10099,10122,24,10083,6,1,11,50,3,8,97,98,8,95,1
240,20181217,200,37,52,70,12,40,2,100,12,53,20,22,90,14,7,24,8,10,108,55,35,12,7,1,10166,10226,23,10115,4,4,1,70,11,8,94,98,1,81,12
240,20181218,153,58,62,80,18,40,1,130,20,65,35,1,79,13,25,6,10,13,162,0,0,0,1,2,10165,10221,1,10079,24,19,5,75,19,8,88,97,1,75,24
240,20181219,176,57,58,80,1,40,7,120,1,71,54,2,95,14,47,6,13,17,131,22,6,3,5,2,10086,10098,10,10072,3,58,8,75,1,7,90,96,5,75,1
240,20181220,193,65,67,90,22,40,1,130,22,75,61,2,83,17,56,6,0,0,95,20,8,2,1,1,10081,10089,20,10073,24,61,1,70,10,8,91,96,1,87,10
240,20181221,231,70,87,130,12,30,24,220,13,95,71,4,135,12,68,6,0,0,89,90,138,34,5,1,10007,10067,1,9950,10,50,4,70,1,8,90,98,4,77,17
240,20181222,263,65,67,90,4,40,5,160,4,92,68,24,101,10,53,24,7,9,125,36,94,76,3,2,10123,10194,24,10036,3,40,6,70,4,8,88,98,6,83,9
240,20181223,236,16,37,50,4,20,15,70,1,67,40,4,85,13,33,6,0,0,69,127,73,16,17,1,10173,10200,24,10135,16,36,15,66,1,8,96,98,10,90,1
240,20181224,301,17,22,40,1,10,8,90,1,65,44,3,89,14,33,6,51,66,319,0,-1,-1,1,4,10308,10354,20,10209,1,65,3,75,11,6,83,93,9,70,21
240,20181225,227,45,48,60,11,30,1,90,13,58,38,6,85,12,18,6,22,29,214,0,0,0,1,3,10343,10354,3,10328,24,64,23,75,1,7,80,85,8,70,3
240,20181226,202,38,39,50,1,30,4,70,1,53,37,23,64,12,37,6,0,0,94,0,0,0,1,1,10309,10325,1,10285,24,50,9,65,1,8,88,93,8,85,1
240,20181227,175,20,20,30,1,10,12,40,1,26,-6,22,55,14,-20,24,30,39,245,0,0,0,1,3,10264,10282,1,10255,15,58,23,67,14,8,86,94,24,75,14
240,20181228,195,23,25,40,19,10,1,60,20,52,8,1,72,21,-3,6,0,0,61,0,0,0,1,1,10288,10314,21,10259,1,50,18,59,4,8,93,96,24,91,3
240,20181229,261,55,72,110,13,30,1,170,20,87,68,1,108,18,64,6,0,0,55,3,1,1,18,1,10287,10315,2,10257,14,30,14,70,17,8,89,98,4,74,20
240,20181230,279,41,45,70,1,30,6,120,1,88,68,7,98,12,56,12,2,3,130,6,1,1,21,2,10321,10331,8,10312,1,18,21,70,4,8,91,98,16,80,1
240,20181231,273,42,45,70,24,30,5,110,23,90,83,21,109,13,76,24,16,21,205,0,-1,-1,1,3,10330,10344,10,10311,24,50,24,70,22,8,92,97,6,80,24
